rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:H021::::14,92:453:15,9:UFF:UFF_TEC_AM::ARE.:RDPS
TO_CEN03:XP01:H102::::2,02::5,7:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XP01:H103::::2,13::5,9:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XP01:H104::::4,15::8,2:VERT:MONTAC::ATU.:AMM
TO_CEN03:XP01:I000::::51,42:366:73,3:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:I001::::62,59:362:35,4:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XP01:I002::::22,24:366:19,6:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:I003::::30,14::23,9:SERV:ARCHIVIO::ATU.:AMM
TO_CEN03:XP01:I004::::34,55:455:27,2:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I005::::30,01:374:26,5:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I006::::31,80:374:26,7:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I007::::35,47:456:27,5:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I008::::31,65:374:26,1:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I009::::29,55:374:23,0:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:I010::::7,57:374:12,4:SERV:WC::ATU.:AMM
TO_CEN03:XP01:I011::::45,52:374:34,2:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XP01:I012::::3,94::13,1:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XP01:I104::::4,43::8,6:VERT:CAVEDIO::ATU.:AMM
TO_CEN03:XP01:I119::::5,50::10,2:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XP01:L000::::25,24:373:23,8:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:L001::::11,91:373:14,8:SERV:MAGAZ::ARE.:AQUI
TO_CEN03:XP01:L002::::4,77:300:10,4:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XP01:L003::::7,85:300:11,6:SERV:WC_H::ATU.:AMM
TO_CEN03:XP01:L004::::45,34:372:32,6:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XP01:L005:45,0620910000000000:7,6612810000000000:Aula 1B:240,16:329:75,7:AULA:AULA:L200:ATU.:ATENEO
TO_CEN03:XP01:L006:45,0619310000000000:7,6615430000000000:Ufficio Facility Management:18,14:362:17,8:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L007:0,0000000000000000:0,0000000000000000::23,47:456:20,4:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L008::::16,72:362:17,1:UFF:UFF_TEC_AM::ARE.:COREGE
TO_CEN03:XP01:L009::::19,95:456:19,5:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L010::::16,74:362:16,7:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L011::::8,31:458:12,5:SERV:ANTI_WC_F::ATU.:AMM
TO_CEN03:XP01:L012::::16,75:362:16,7:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L013::::6,42:458:11,2:SERV:ANTI_WC_M::ATU.:AMM
TO_CEN03:XP01:L014::::16,75:362:16,7:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L015::::22,36:457:20,5:UFF:UFF_TEC_AM::ARE.:EDILOG
